ISO,Language,Dialect,Genetics,Speakers,Method,Quantity,vowel,f1,f2,f3,y,country_ids,latitude,longitude,eng.prim
cat,Catalan,Eastern,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian,6,Isolation,Uniform,i,245.0,2273.0,3101,FALSE,AD ES FR IT,41.453,1.569,FALSE
cat,Catalan,Eastern,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian,6,Isolation,Uniform,u,268.0,633.0,2626,FALSE,AD ES FR IT,41.453,1.569,FALSE
chf,Chontal,Oaxaca,Mayan>CholanTzeltalan>Cholan>CholChontal,3,Wordlist,Uniform,i,434.0,2388.0,NA,FALSE,MX,18.1713,-92.7367,FALSE
chf,Chontal,Oaxaca,Mayan>CholanTzeltalan>Cholan>CholChontal,3,Wordlist,Uniform,u,414.0,810.0,NA,FALSE,MX,18.1713,-92.7367,FALSE
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Long,u,339.0,1404.0,2349,FALSE,US,35.4664,-83.163,TRUE
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Long,i,308.0,2262.0,2832,FALSE,US,35.4664,-83.163,TRUE
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,u,350.0,625.0,NA,TRUE,EE KZ RU,55.487,47.163,FALSE
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,y,345.0,1800.0,NA,TRUE,EE KZ RU,55.487,47.163,FALSE
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,i,330.0,1990.0,NA,TRUE,EE KZ RU,55.487,47.163,FALSE
cic,Chickasaw,NA,Muskogean>Western,6,Wordlist,Long,i,389.0,1984.0,2382,FALSE,US,33.9452,-97.1301,TRUE
cmn,Mandarin,Standard,SinoTibetan>Sinitic>Chinese,14,Isolation,Uniform,u,264.0,580.0,NA,TRUE,CN KP LA MM MN RU TW VN,40.0209,116.228,FALSE
cmn,Mandarin,Standard,SinoTibetan>Sinitic>Chinese,14,Isolation,Uniform,y,251.0,1963.0,NA,TRUE,CN KP LA MM MN RU TW VN,40.0209,116.228,FALSE
cmn,Mandarin,Standard,SinoTibetan>Sinitic>Chinese,14,Isolation,Uniform,i,246.0,2145.0,NA,TRUE,CN KP LA MM MN RU TW VN,40.0209,116.228,FALSE
cnt,Tepetotutla Chinantec,NA,OtoManguean>Chinantecan,2,Wordlist,Uniform,i,266.0,2103.0,2692,FALSE,MX,17.7115,-96.5404,FALSE
cnt,Tepetotutla Chinantec,NA,OtoManguean>Chinantecan,2,Wordlist,Uniform,u,264.0,722.0,2458,FALSE,MX,17.7115,-96.5404,FALSE
cog,Chong,NA,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,i,340.0,2275.0,NA,FALSE,KH TH,12.5218,102.514,FALSE
cog,Chong,NA,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,u,285.0,795.0,NA,FALSE,KH TH,12.5218,102.514,FALSE
cym,Welsh,NA,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Long,u,220.0,640.0,NA,FALSE,GB,52.0,-4.0,TRUE
cym,Welsh,NA,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Long,i,190.0,2200.0,NA,FALSE,GB,52.0,-4.0,TRUE
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,u,257.0,732.0,2117,TRUE,DE DK,54.8655,9.36284,FALSE
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,y,235.0,1919.0,2235,TRUE,DE DK,54.8655,9.36284,FALSE
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,i,225.0,2197.0,3189,TRUE,DE DK,54.8655,9.36284,FALSE
ddo,Tsez,Asax,Tsezic>WestTsezic,1,Wordlist,Uniform,i,320.0,2183.0,3065,FALSE,GE RU,42.2646,45.8096,FALSE
ddo,Tsez,Asax,Tsezic>WestTsezic,1,Wordlist,Uniform,u,348.0,937.0,NA,FALSE,GE RU,42.2646,45.8096,FALSE
deg,Degema,NA,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,i,384.0,2164.0,NA,FALSE,NG,4.73373,6.80991,FALSE
deg,Degema,NA,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,u,377.0,912.0,NA,FALSE,NG,4.73373,6.80991,FALSE
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,y,302.0,1722.0,NA,TRUE,AT BE CH CZ DE DK FR HU IT LI LU NL PL RO SI SK,48.649,12.4676,FALSE
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,i,263.0,2171.0,NA,TRUE,AT BE CH CZ DE DK FR HU IT LI LU NL PL RO SI SK,48.649,12.4676,FALSE
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,u,310.0,854.0,NA,TRUE,AT BE CH CZ DE DK FR HU IT LI LU NL PL RO SI SK,48.649,12.4676,FALSE
dgo,Dogri,NA,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Long,i,287.0,2203.0,2904,FALSE,IN PK,32.5534,75.7111,FALSE
