confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,orth,name,pk,valueset_pk,word_pk
,StandardOrth,,,3-110-190-1,{},,animal,ˈænəməl ,63807,48806,59258
,StandardOrth,,,3-120-190-1,{},,male,meɪl ,63808,48807,58888
,StandardOrth,,,3-130-190-1,{},,female,ˈfiˌmeɪl ,63809,48808,59493
,StandardOrth,,,3-150-190-1,{},,livestock,ˈlaɪvˌstɑk ,63810,48809,58731
,StandardOrth,,,3-160-190-1,{},,pasture,ˈpæsʧər ,63811,48810,58767
,StandardOrth,,,3-180-190-1,{},,herds man,hɜrdz mən ,63812,48811,59451
,StandardOrth,,,3-190-190-1,{},,stable,ˈsteɪbəl ,63813,48812,59172
,StandardOrth,,,3-190-190-3,{},,stall,stɔl ,63814,48812,58981
,StandardOrth,,,3-200-190-1,{},,cattle,ˈkætəl ,63815,48813,58267
,StandardOrth,,,3-210-190-1,{},,bull,bʊl ,63816,48814,59415
,StandardOrth,,,3-220-190-1,{},,ox,ɑks ,63817,48815,59261
,StandardOrth,,,3-230-190-1,{},,cow,kaʊ ,63818,48816,58282
,StandardOrth,,,3-240-190-1,{},,calf,kæf ,63819,48817,58101
,StandardOrth,,,3-250-190-1,{},,sheep,ʃip ,63820,48818,58588
,StandardOrth,,,3-260-190-1,{},,ram,ræm ,63821,48819,58217
,StandardOrth,,,3-280-190-1,{},,ewe,ju ,63822,48820,59081
,StandardOrth,,,3-290-190-1,{},,lamb,læm ,63823,48821,59250
,StandardOrth,,,3-320-190-1,{},,boar,bɔr ,63824,48822,58687
,StandardOrth,,,3-340-190-1,{},,sow,soʊ ,63825,48823,58393
,StandardOrth,,,3-350-190-1,{},,pig,pɪg ,63826,48824,59510
,StandardOrth,,,3-360-190-1,{},,goat,goʊt ,63827,48825,58906
,StandardOrth,,,3-370-190-1,{},,he-goat,hi-goʊt ,63828,48826,59394
,StandardOrth,,,3-380-190-1,{},,kid,kɪd ,63829,48827,58325
,StandardOrth,,,3-410-190-1,{},,horse,hɔrs ,63830,48828,58969
,StandardOrth,,,3-420-190-1,{},,stallion,ˈstæljən ,63831,48829,58469
,StandardOrth,,,3-440-190-1,{},,mare,mɛr ,63832,48830,58689
,StandardOrth,,,3-450-190-1,{},,foal,foʊl ,63833,48831,58721
,StandardOrth,,,3-450-190-3,{},,colt,koʊlt ,63834,48831,58529
,StandardOrth,,,3-460-190-1,{},,ass,æs ,63835,48832,58951
,StandardOrth,,,3-460-190-3,{},,donkey,ˈdɑŋki ,63836,48832,58214
,StandardOrth,,,3-470-190-1,{},,mule,mjul ,63837,48833,58855
,StandardOrth,,,3-500-190-1,{},,fowl,faʊl ,63838,48834,59340
,StandardOrth,,,3-520-190-1,{},,cock,kɑk ,63839,48835,58700
,StandardOrth,,,3-520-190-3,{},,rooster,ˈrustər ,63840,48835,59421
,StandardOrth,,,3-540-190-1,{},,hen,hɛn ,63841,48836,58793
,StandardOrth,,,3-550-190-1,{},,chicken,ˈʧɪkən ,63842,48837,59365
,StandardOrth,,,3-560-190-1,{},,goose,gus ,63843,48838,58559
,StandardOrth,,,3-570-190-1,{},,duck,dʌk ,63844,48839,59217
,StandardOrth,,,3-580-190-1,{},,nest,nɛst ,63845,48840,58950
,StandardOrth,,,3-581-190-1,{},,bird,bɜrd ,63846,48841,59200
,StandardOrth,,,3-582-190-1,{},,seagull,ˈsiˌgʌl ,63847,48842,58887
,StandardOrth,,,3-583-190-1,{},,heron,ˈhɛrən ,63848,48843,58925
,StandardOrth,,,3-584-190-1,{},,eagle,ˈigəl ,63849,48844,58567
,StandardOrth,,,3-585-190-1,{},,hawk,hɔk ,63850,48845,59264
,StandardOrth,,,3-586-190-1,{},,vulture,ˈvʌlʧər ,63851,48846,58347
,StandardOrth,,,3-591-190-1,{},,bat,bæt ,63852,48847,59287
,StandardOrth,,,3-592-190-1,{},,parrot,ˈpɛrət ,63853,48848,58058
,StandardOrth,,,3-593-190-1,{},,crow,kroʊ ,63854,48849,59190
,StandardOrth,,,3-594-190-1,{},,dove,dʌv ,63855,48850,58517
,StandardOrth,,,3-596-190-1,{},,owl,aʊl ,63856,48851,59486
,StandardOrth,,,3-610-190-1,{},,dog,dɔg ,63857,48852,58236
,StandardOrth,,,3-614-190-1,{},,rabbit,ˈræbət ,63858,48853,59230
,StandardOrth,,,3-620-190-1,{},,cat,kæt ,63859,48854,58495
,StandardOrth,,,3-622-190-1,{},,opossum,oʊˈpɑsəm ,63860,48855,59319
,StandardOrth,,,3-630-190-1,{},,mouse,maʊs ,63861,48856,58311
,StandardOrth,,,3-630-190-3,{},,rat,ræt ,63862,48856,58220
,StandardOrth,,,3-650-190-1,{},,fish,fɪʃ ,63863,48857,58942
,StandardOrth,,,3-652-190-1,{},,fin,fɪn ,63864,48858,58159
,StandardOrth,,,3-653-190-1,{},,fish scale,fɪʃ skeɪl ,63865,48859,59096
,StandardOrth,,,3-654-190-1,{},,gill,gɪl ,63866,48860,58994
,StandardOrth,,,3-655-190-1,{},,shell,ʃɛl ,63867,48861,59323
,StandardOrth,,,3-661-190-1,{},,shark,ʃɑrk ,63868,48862,58890
,StandardOrth,,,3-662-190-1,{},,porpoise,ˈpɔrpəs ,63869,48863,58963
,StandardOrth,,,3-662-190-3,{},,dolphin,ˈdɑlfən ,63870,48863,58125
,StandardOrth,,,3-663-190-1,{},,whale,weɪl ,63871,48864,59432
,StandardOrth,,,3-664-190-1,{},,sting ray,stɪŋ reɪ ,63872,48865,58376
,StandardOrth,,,3-665-190-1,{},,freshwater eel,ˈfrɛˌʃwɔtər il ,63873,48866,58799
,StandardOrth,,,3-710-190-1,{},,wolf,wʊlf ,63874,48867,58782
,StandardOrth,,,3-720-190-1,{},,lion,ˈlaɪən ,63875,48868,59033
,StandardOrth,,,3-730-190-1,{},,bear,bɛr ,63876,48869,59375
,StandardOrth,,,3-740-190-1,{},,fox,fɑks ,63877,48870,58372
,StandardOrth,,,3-750-190-1,{},,deer,dɪr ,63878,48871,58809
,StandardOrth,,,3-760-190-1,{},,monkey,ˈmʌŋki ,63879,48872,58186
,StandardOrth,,,3-770-190-1,{},,elephant,ˈɛləfənt ,63880,48873,58510
,StandardOrth,,,3-780-190-1,{},,camel,ˈkæməl ,63881,48874,58468
,StandardOrth,,,3-810-190-1,{},,insect,ˈɪnˌsɛkt ,63882,48875,59160
,StandardOrth,,,3-811-190-1,{},,louse,laʊs ,63883,48876,58188
,StandardOrth,,,3-812-190-1,{},,nit,nɪt ,63884,48877,58324
,StandardOrth,,,3-813-190-1,{},,flea,fli ,63885,48878,59290
,StandardOrth,,,3-814-190-1,{},,centipede,ˈsɛntɪˌpid ,63886,48879,58416
,StandardOrth,,,3-815-190-1,{},,scorpion,ˈskɔrpiən ,63887,48880,59371
,StandardOrth,,,3-816-190-1,{},,cockroach,ˈkɑˌkroʊʧ ,63888,48881,58954
,StandardOrth,,,3-817-190-1,{},,ant,ænt ,63889,48882,58610
,StandardOrth,,,3-818-190-1,{},,spider,ˈspaɪdər ,63890,48883,58176
,StandardOrth,,,3-819-190-1,{},,spider web,ˈspaɪdər wɛb ,63891,48884,59419
,StandardOrth,,,3-820-190-1,{},,bee,bi ,63892,48885,59335
,StandardOrth,,,3-821-190-1,{},,bees wax,biz wæks ,63893,48886,58100
,StandardOrth,,,3-822-190-1,{},,beehive,ˈbiˌhaɪv ,63894,48887,58522
,StandardOrth,,,3-823-190-1,{},,wasp,wɑsp ,63895,48888,58191
,StandardOrth,,,3-830-190-1,{},,fly,flaɪ ,63896,48889,58492
,StandardOrth,,,3-831-190-1,{},,sand fly,sænd flaɪ ,63897,48890,58185
,StandardOrth,,,3-831-190-3,{},,midge,mɪʤ ,63898,48890,58352
,StandardOrth,,,3-831-190-5,{},,gnat,næt ,63899,48890,58644
,StandardOrth,,,3-832-190-1,{},,mosquito,məˈskitoʊ ,63900,48891,58354
,StandardOrth,,,3-840-190-1,{},,worm,wɜrm ,63901,48892,58118
,StandardOrth,,,3-850-190-1,{},,snake,sneɪk ,63902,48893,59288
,StandardOrth,,,3-910-190-1,{},,firefly,ˈfaɪərˌflaɪ ,63903,48894,59349
,StandardOrth,,,3-920-190-1,{},,butterfly,ˈbʌtərˌflaɪ ,63904,48895,58623
